0.jpg	158	53	195	90
1.jpg	32	40	90	98
2.jpg	67	111	222	266
3.jpg	62	19	95	52
4.jpg	77	47	112	82
73.jpg	162	86	221	145
6.jpg	39	40	88	89
7.jpg	43	41	101	99
8.jpg	76	51	136	111
9.jpg	92	97	188	193
10.jpg	80	34	132	86
11.jpg	28	20	86	78
12.jpg	88	104	206	222
13.jpg	73	102	208	237
14.jpg	101	111	221	231
104.jpg	75	97	170	192
16.jpg	77	41	116	80
17.jpg	78	77	153	152
35.jpg	51	77	131	157
19.jpg	139	72	197	130
67.jpg	104	84	165	145
22.jpg	117	95	192	170
25.jpg	24	51	78	105
39.jpg	59	195	136	272
28.jpg	153	21	222	90
30.jpg	60	33	104	77
31.jpg	30	93	285	348
32.jpg	31	26	65	60
33.jpg	22	59	104	141
34.jpg	85	100	222	237
37.jpg	61	32	91	62
38.jpg	38	60	112	134
40.jpg	25	3	53	31
41.jpg	169	36	198	65
43.jpg	126	67	203	144
46.jpg	139	96	183	140
47.jpg	117	82	234	199
62.jpg	108	109	297	298
49.jpg	37	40	93	96
50.jpg	153	39	210	96
51.jpg	123	52	191	120
52.jpg	89	127	195	233
53.jpg	140	41	257	158
54.jpg	54	94	193	233
55.jpg	103	20	134	51
56.jpg	111	45	225	159
57.jpg	162	55	221	114
58.jpg	44	41	81	78
59.jpg	57	36	96	75
60.jpg	116	119	259	262
61.jpg	107	119	239	251
65.jpg	145	41	228	124
66.jpg	64	89	142	167
69.jpg	154	48	204	98
70.jpg	32	24	235	227
72.jpg	104	90	201	187
75.jpg	106	11	174	79
76.jpg	186	49	226	89
77.jpg	105	126	246	267
78.jpg	147	73	236	162
81.jpg	169	72	255	158
83.jpg	213	35	262	84
84.jpg	74	112	132	170
85.jpg	31	67	122	158
86.jpg	127	143	183	199
89.jpg	171	103	322	254
90.jpg	37	44	96	103
93.jpg	140	22	201	83
95.jpg	92	18	284	210
96.jpg	169	62	260	153
97.jpg	44	44	101	101
98.jpg	73	36	153	116
99.jpg	111	76	242	207
100.jpg	63	40	134	111
101.jpg	174	54	326	206
102.jpg	93	99	187	193
