0.jpg	82	66	164	148
1.jpg	7	28	87	108
2.jpg	154	75	257	178
3.jpg	156	49	206	99
10.jpg	98	38	242	182
34.jpg	26	31	76	81
7.jpg	42	56	112	126
9.jpg	120	85	188	153
12.jpg	26	82	98	154
13.jpg	44	41	133	130
15.jpg	103	72	193	162
17.jpg	123	98	243	218
18.jpg	44	66	117	139
20.jpg	48	103	83	138
22.jpg	29	37	71	79
23.jpg	107	145	221	259
24.jpg	130	31	189	90
25.jpg	36	36	72	72
27.jpg	32	36	68	72
57.jpg	136	60	216	140
35.jpg	78	50	144	116
38.jpg	36	28	76	68
39.jpg	36	23	64	51
41.jpg	130	120	265	255
42.jpg	42	78	171	207
43.jpg	50	50	94	94
44.jpg	87	89	157	159
45.jpg	27	21	55	49
46.jpg	138	55	214	131
47.jpg	130	128	277	275
49.jpg	40	141	207	308
73.jpg	215	60	318	163
51.jpg	133	133	234	234
52.jpg	132	66	223	157
54.jpg	68	96	195	223
55.jpg	102	84	181	163
56.jpg	38	46	95	103
61.jpg	106	122	225	241
62.jpg	32	28	61	57
63.jpg	111	60	178	127
66.jpg	135	50	192	107
69.jpg	76	177	216	317
71.jpg	137	104	255	222
72.jpg	28	8	61	41
74.jpg	69	68	136	135
75.jpg	39	63	103	127
80.jpg	136	53	212	129
81.jpg	151	88	249	186
