0.jpg	32	58	115	141
1.jpg	68	24	100	56
2.jpg	187	56	250	119
16.jpg	68	54	249	235
4.jpg	96	51	169	124
5.jpg	128	286	194	352
6.jpg	99	16	129	46
7.jpg	66	63	99	96
39.jpg	133	37	213	117
9.jpg	65	26	268	229
10.jpg	72	27	105	60
11.jpg	96	36	145	85
12.jpg	57	41	103	87
13.jpg	178	81	250	153
14.jpg	184	32	269	117
15.jpg	122	47	179	104
17.jpg	118	128	203	213
18.jpg	199	36	258	95
19.jpg	37	31	82	76
20.jpg	148	61	198	111
21.jpg	120	46	180	106
22.jpg	99	28	140	69
23.jpg	198	65	267	134
25.jpg	128	50	200	122
26.jpg	71	78	190	197
41.jpg	121	71	262	212
28.jpg	65	23	99	57
30.jpg	160	100	230	170
32.jpg	125	50	171	96
33.jpg	32	37	111	116
35.jpg	71	87	172	188
36.jpg	41	32	79	70
37.jpg	56	90	123	157
38.jpg	52	44	98	90
52.jpg	175	75	236	136
42.jpg	70	23	152	105
45.jpg	149	53	198	102
44.jpg	92	53	167	128
46.jpg	95	30	135	70
47.jpg	195	61	279	145
48.jpg	131	51	188	108
49.jpg	123	60	178	115
50.jpg	49	44	113	108
53.jpg	147	40	199	92
54.jpg	116	136	216	236
55.jpg	135	67	210	142
56.jpg	161	95	212	146
59.jpg	161	107	273	219
58.jpg	111	45	181	115
60.jpg	234	32	276	74
62.jpg	125	41	259	175
